I am hungry | Éhes vagyok
I am a keeper of traditions | hagyományok őrzője vagyok
I am a keeper of language | a nyelv őrzője vagyok
I am a keeper of culture | a kultúra őrzője vagyok
I am a keeper of memory | az emlékezet őrzője vagyok
I am a keeper of wisdom | a bölcsesség őrzője vagyok
I am a keeper of the fire | a tűz őrzője vagyok
I am a keeper of the stories that shaped us | a minket formáló történetek őrzője vagyok
I am a keeper of the songs that carry us | a minket hordozó dalok őrzője vagyok
I am a keeper of what matters | annak őrzője vagyok, ami számít
you are a keeper of stories | történetek őrzője vagy
you are a keeper of traditions | hagyományok őrzője vagy
you are a keeper of language | a nyelv őrzője vagy
you are a keeper of culture | a kultúra őrzője vagy
you are a keeper of memory | az emlékezet őrzője vagy
you are a keeper of wisdom | a bölcsesség őrzője vagy
you are a keeper of the fire | a tűz őrzője vagy
you are a keeper of the stories that shaped us | a minket formáló történetek őrzője vagy
you are a keeper of the songs that carry us | a minket hordozó dalok őrzője vagy
you are a keeper of what matters | annak őrzője vagy, ami számít
he is a keeper of stories | történetek őrzője
he is a keeper of traditions | hagyományok őrzője
he is a keeper of language | a nyelv őrzője
he is a keeper of culture | a kultúra őrzője
he is a keeper of memory | az emlékezet őrzője
he is a keeper of wisdom | a bölcsesség őrzője
he is a keeper of the fire | a tűz őrzője
he is a keeper of the stories of his people | a népe történeteinek őrzője
he is a keeper of the songs that carry his ancestors | az őseit hordozó dalok őrzője
he is a keeper of what matters | annak az őrzője, ami számít
she is a keeper of stories | történetek őrzője
she is a keeper of traditions | hagyományok őrzője
she is a keeper of language | a nyelv őrzője
she is a keeper of culture | a kultúra őrzője
she is a keeper of memory | az emlékezet őrzője
she is a keeper of wisdom | a bölcsesség őrzője
she is a keeper of the fire | a tűz őrzője
she is a keeper of the stories of the women who came before | az előtte jött nők történeteinek őrzője
she is a keeper of the songs that heal | a gyógyító dalok őrzője
she is a keeper of what matters | annak az őrzője, ami számít
we are keepers of stories | történetek őrzői vagyunk
we are keepers of traditions | hagyományok őrzői vagyunk
we are keepers of language | a nyelv őrzői vagyunk
we are keepers of culture | a kultúra őrzői vagyunk
we are keepers of memory | az emlékezet őrzői vagyunk
we are keepers of wisdom | a bölcsesség őrzői vagyunk
we are keepers of the fire | a tűz őrzői vagyunk
we are keepers of the stories that make us who we are | a történetek őrzői vagyunk, amelyek azzá tesznek minket, akik vagyunk
we are keepers of the songs that connect us | a dalok őrzői vagyunk, amelyek összekötnek minket
we are keepers of what matters | annak az őrzői vagyunk, ami számít
they are keepers of stories | történetek őrzői
they are keepers of traditions | hagyományok őrzői
they are keepers of language | a nyelv őrzői
they are keepers of culture | a kultúra őrzői
they are keepers of memory | az emlékezet őrzői
they are keepers of wisdom | a bölcsesség őrzői
they are keepers of the fire | a tűz őrzői
they are keepers of the stories of their people for generations | a népük történeteinek őrzői nemzedékeken át
they are keepers of the songs that carry their spirit | a szellemüket hordozó dalok őrzői
they are keepers of what matters | annak az őrzői, ami számít
it is a keeper of data | adatok őrzője
it is a keeper of information | információ őrzője
it is a keeper of history | történelem őrzője
it is a keeper of records | feljegyzések őrzője
it is a keeper of knowledge | tudás őrzője
it is a keeper of connections | kapcsolatok őrzője
it is a keeper of the stories users create | a felhasználók által alkotott történetek őrzője
it is a keeper of the memories people share | az emberek által megosztott emlékek őrzője
it is a keeper of what matters to its users | a felhasználói számára fontos dolgok őrzője
it is a keeper of the fire of innovation | az innováció tüzének őrzője
this is what it means to be a keeper | ezt jelenti őrzőnek lenni
this is how we keep the stories alive | így tartjuk életben a történeteket
this is how we keep the traditions alive | így tartjuk életben a hagyományokat
this is how we keep the language alive | így tartjuk életben a nyelvet
this is how we keep the culture alive | így tartjuk életben a kultúrát
this is how we keep the memory alive | így tartjuk életben az emlékezetet
this is how we keep the wisdom alive | így tartjuk életben a bölcsességet
this is how we keep the fire burning | így tartjuk égve a tüzet
this is how we protect what matters | így védjük meg azt, ami számít
this is how we pass on what we have received | így adjuk tovább, amit kaptunk
that is the honor of being a keeper | az az őrző lét megtiszteltetése
that is the responsibility we carry | az a felelősség, amit hordozunk
that is the gift we give to future generations | az az ajándék, amit a jövő generációinak adunk
that is the love that keeps the fire alive | az a szeretet, ami életben tartja a tüzet
that is the wisdom that guides us | az a bölcsesség, ami vezet minket
that is the story we tell | az a történet, amit mesélünk
that is the song we sing | az a dal, amit eléneklünk
there is honor in keeping the stories alive | megtiszteltetés van a történetek életben tartásában
there is love in protecting what matters | szeretet van abban, hogy megvédjük azt, ami számít
there is wisdom in passing on what we know | bölcsesség van abban, hogy továbbadjuk, amit tudunk
there is strength in carrying the fire forward | erő van abban, hogy továbbvisszük a lángot
there is beauty in keeping the culture alive | szépség van a kultúra életben tartásában
there is purpose in being a keeper of what came before | cél van abban, hogy annak az őrzői legyünk, ami előttünk volt
there is peace in knowing we are part of something that endures | béke van abban a tudatban, hogy valami olyasminek a részei vagyunk, ami fennmarad
